,assignments
SS2_18_107:N7_unique.bam,neural crest
SS2_18_107:N15_unique.bam,neural crest
SS2_18_107:N13_unique.bam,sens. neu.
SS2_18_107:N8_unique.bam,neural crest
SS2_18_107:N16_unique.bam,neural crest
SS2_18_107:N20_unique.bam,neural crest
SS2_18_107:N17_unique.bam,neural crest
SS2_18_107:N21_unique.bam,neural crest
SS2_18_107:N24_unique.bam,neural crest
SS2_18_107:O7_unique.bam,sens. neu.
SS2_18_107:N22_unique.bam,neural crest
SS2_18_107:O10_unique.bam,neural crest
SS2_18_107:O3_unique.bam,neural crest
SS2_18_107:O11_unique.bam,neural crest
SS2_18_107:O9_unique.bam,sens. neu.
SS2_18_107:O6_unique.bam,sens. neu.
SS2_18_107:P2_unique.bam,neural crest
SS2_18_107:O12_unique.bam,neural crest
SS2_18_107:O13_unique.bam,neural crest
SS2_18_107:O17_unique.bam,neural crest
SS2_18_107:O22_unique.bam,neural crest
SS2_18_107:P6_unique.bam,neural crest
SS2_18_107:O23_unique.bam,neural crest
SS2_18_107:O21_unique.bam,neural crest
SS2_18_107:P9_unique.bam,neural crest
SS2_18_107:P12_unique.bam,neural crest
SS2_18_107:P14_unique.bam,neural crest
SS2_18_107:P11_unique.bam,neural crest
SS2_18_107:P3_unique.bam,neural crest
SS2_18_107:P17_unique.bam,sens. neu.
SS2_18_107:P7_unique.bam,neural crest
SS2_18_107:P10_unique.bam,neural crest
SS2_18_107:P16_unique.bam,neural crest
SS2_18_107:P21_unique.bam,neural crest
SS2_18_108:A5_unique.bam,neural crest
SS2_18_108:B5_unique.bam,sens. neu.
SS2_18_108:A19_unique.bam,neural crest
SS2_18_108:A17_unique.bam,sens. neu.
SS2_18_108:A2_unique.bam,neural crest
SS2_18_108:A15_unique.bam,sens. neu.
SS2_18_108:A6_unique.bam,neural crest
SS2_18_108:A21_unique.bam,sens. neu.
SS2_18_108:A1_unique.bam,neural crest
SS2_18_108:B6_unique.bam,neural crest
SS2_18_108:A9_unique.bam,neural crest
SS2_18_108:A3_unique.bam,neural crest
SS2_18_108:A8_unique.bam,neural crest
SS2_18_108:A4_unique.bam,neural crest
SS2_18_108:A16_unique.bam,sens. neu.
SS2_18_108:B8_unique.bam,neural crest
SS2_18_108:B10_unique.bam,neural crest
SS2_18_108:B11_unique.bam,sens. neu.
SS2_18_108:B13_unique.bam,sens. neu.
SS2_18_108:B14_unique.bam,neural crest
SS2_18_108:C1_unique.bam,sens. neu.
SS2_18_108:C2_unique.bam,neural crest
SS2_18_108:C8_unique.bam,neural crest
SS2_18_108:C10_unique.bam,sens. neu.
SS2_18_108:B21_unique.bam,neural crest
SS2_18_108:B19_unique.bam,neural crest
SS2_18_108:C6_unique.bam,none
SS2_18_108:C4_unique.bam,neural crest
SS2_18_108:C11_unique.bam,neural crest
SS2_18_108:C7_unique.bam,sens. neu.
SS2_18_108:C9_unique.bam,neural crest
SS2_18_108:C14_unique.bam,neural crest
SS2_18_108:C19_unique.bam,neural crest
SS2_18_108:C20_unique.bam,neural crest
SS2_18_108:C24_unique.bam,neural crest
SS2_18_108:C18_unique.bam,neural crest
SS2_18_108:D9_unique.bam,sens. neu.
SS2_18_108:D8_unique.bam,neural crest
SS2_18_108:D7_unique.bam,neural crest
SS2_18_108:D12_unique.bam,sens. neu.
SS2_18_108:D14_unique.bam,neural crest
SS2_18_108:D17_unique.bam,neural crest
SS2_18_108:D1_unique.bam,sens. neu.
SS2_18_108:D2_unique.bam,neural crest
SS2_18_108:D5_unique.bam,neural crest
SS2_18_108:D18_unique.bam,neural crest
SS2_18_108:D23_unique.bam,neural crest
SS2_18_108:D21_unique.bam,sens. neu.
SS2_18_108:D22_unique.bam,neural crest
SS2_18_108:E4_unique.bam,sens. neu.
SS2_18_108:E9_unique.bam,neural crest
SS2_18_108:D20_unique.bam,neural crest
SS2_18_108:E11_unique.bam,neural crest
SS2_18_108:E1_unique.bam,neural crest
SS2_18_108:E2_unique.bam,neural crest
SS2_18_108:E13_unique.bam,neural crest
SS2_18_108:E14_unique.bam,neural crest
SS2_18_108:E12_unique.bam,neural crest
SS2_18_108:E16_unique.bam,neural crest
SS2_18_108:E15_unique.bam,neural crest
SS2_18_108:E19_unique.bam,neural crest
SS2_18_108:E23_unique.bam,neural crest
SS2_18_108:F3_unique.bam,neural crest
SS2_18_108:E18_unique.bam,neural crest
SS2_18_108:F8_unique.bam,sens. neu.
SS2_18_108:F1_unique.bam,neural crest
SS2_18_108:F12_unique.bam,none
SS2_18_108:F13_unique.bam,neural crest
SS2_18_108:F14_unique.bam,neural crest
SS2_18_108:F17_unique.bam,neural crest
SS2_18_108:F20_unique.bam,neural crest
SS2_18_108:F5_unique.bam,sens. neu.
SS2_18_108:F19_unique.bam,sens. neu.
SS2_18_108:F21_unique.bam,neural crest
SS2_18_108:F10_unique.bam,neural crest
SS2_18_108:F11_unique.bam,neural crest
SS2_18_108:F16_unique.bam,neural crest
SS2_18_108:G4_unique.bam,neural crest
SS2_18_108:F24_unique.bam,neural crest
SS2_18_108:G9_unique.bam,neural crest
SS2_18_108:G10_unique.bam,neural crest
SS2_18_108:H1_unique.bam,Hub
SS2_18_108:G8_unique.bam,neural crest
SS2_18_108:G12_unique.bam,neural crest
SS2_18_108:G16_unique.bam,neural crest
SS2_18_108:G11_unique.bam,neural crest
SS2_18_108:G18_unique.bam,neural crest
SS2_18_108:H8_unique.bam,neural crest
SS2_18_108:H4_unique.bam,Hub
SS2_18_108:G24_unique.bam,neural crest
SS2_18_108:H3_unique.bam,sens. neu.
SS2_18_108:H12_unique.bam,neural crest
SS2_18_108:H17_unique.bam,sens. neu.
SS2_18_108:H6_unique.bam,sens. neu.
SS2_18_108:H19_unique.bam,neural crest
SS2_18_108:H21_unique.bam,neural crest
SS2_18_108:H7_unique.bam,neural crest
SS2_18_108:H10_unique.bam,sens. neu.
SS2_18_108:H16_unique.bam,neural crest
SS2_18_108:I3_unique.bam,neural crest
SS2_18_108:I7_unique.bam,neural crest
SS2_18_108:I10_unique.bam,neural crest
SS2_18_108:H22_unique.bam,neural crest
SS2_18_108:I13_unique.bam,neural crest
SS2_18_108:I1_unique.bam,neural crest
SS2_18_108:H24_unique.bam,neural crest
SS2_18_108:I19_unique.bam,neural crest
SS2_18_108:I8_unique.bam,neural crest
SS2_18_108:I21_unique.bam,neural crest
SS2_18_108:I15_unique.bam,neural crest
SS2_18_108:J4_unique.bam,neural crest
SS2_18_108:I12_unique.bam,sens. neu.
SS2_18_108:J5_unique.bam,sens. neu.
SS2_18_108:J10_unique.bam,neural crest
SS2_18_108:J2_unique.bam,neural crest
SS2_18_108:I22_unique.bam,neural crest
SS2_18_108:J11_unique.bam,neural crest
SS2_18_108:J1_unique.bam,neural crest
SS2_18_108:I24_unique.bam,neural crest
SS2_18_108:J14_unique.bam,neural crest
SS2_18_108:J9_unique.bam,neural crest
SS2_18_108:J20_unique.bam,neural crest
SS2_18_108:J19_unique.bam,sens. neu.
SS2_18_108:J21_unique.bam,neural crest
SS2_18_108:J18_unique.bam,neural crest
SS2_18_108:J15_unique.bam,neural crest
SS2_18_108:K12_unique.bam,neural crest
SS2_18_108:K4_unique.bam,neural crest
SS2_18_108:K3_unique.bam,neural crest
SS2_18_108:K21_unique.bam,sens. neu.
SS2_18_108:K5_unique.bam,neural crest
SS2_18_108:K11_unique.bam,neural crest
SS2_18_108:K24_unique.bam,sens. neu.
SS2_18_108:K13_unique.bam,neural crest
SS2_18_108:K20_unique.bam,neural crest
SS2_18_108:K14_unique.bam,sens. neu.
SS2_18_108:K18_unique.bam,neural crest
SS2_18_108:L4_unique.bam,sens. neu.
SS2_18_108:L1_unique.bam,neural crest
SS2_18_108:L10_unique.bam,sens. neu.
SS2_18_108:L5_unique.bam,neural crest
SS2_18_108:L14_unique.bam,neural crest
SS2_18_108:L16_unique.bam,neural crest
SS2_18_108:L17_unique.bam,neural crest
SS2_18_108:L20_unique.bam,neural crest
SS2_18_108:L8_unique.bam,sens. neu.
SS2_18_108:L24_unique.bam,neural crest
SS2_18_108:L9_unique.bam,neural crest
SS2_18_108:L12_unique.bam,neural crest
SS2_18_108:L13_unique.bam,neural crest
SS2_18_108:L21_unique.bam,neural crest
SS2_18_108:M8_unique.bam,neural crest
SS2_18_108:M2_unique.bam,neural crest
SS2_18_108:M1_unique.bam,neural crest
SS2_18_108:M11_unique.bam,sens. neu.
SS2_18_108:M10_unique.bam,neural crest
SS2_18_108:M6_unique.bam,neural crest
SS2_18_108:M15_unique.bam,neural crest
SS2_18_108:M9_unique.bam,neural crest
SS2_18_108:M18_unique.bam,sens. neu.
SS2_18_108:M22_unique.bam,neural crest
SS2_18_108:M23_unique.bam,neural crest
SS2_18_108:N7_unique.bam,neural crest
SS2_18_108:N2_unique.bam,neural crest
SS2_18_108:N14_unique.bam,sens. neu.
SS2_18_108:N10_unique.bam,sens. neu.
SS2_18_108:N15_unique.bam,neural crest
SS2_18_108:N17_unique.bam,neural crest
SS2_18_108:N18_unique.bam,sens. neu.
SS2_18_108:N5_unique.bam,sens. neu.
SS2_18_108:N19_unique.bam,neural crest
SS2_18_108:N22_unique.bam,neural crest
SS2_18_108:N21_unique.bam,sens. neu.
SS2_18_108:N20_unique.bam,neural crest
SS2_18_108:N23_unique.bam,neural crest
SS2_18_108:N24_unique.bam,neural crest
SS2_18_108:O12_unique.bam,neural crest
SS2_18_108:O14_unique.bam,neural crest
SS2_18_108:O22_unique.bam,sens. neu.
SS2_18_108:O19_unique.bam,neural crest
SS2_18_108:O8_unique.bam,neural crest
SS2_18_108:O15_unique.bam,neural crest
SS2_18_108:O13_unique.bam,neural crest
SS2_18_108:O16_unique.bam,neural crest
SS2_18_108:O17_unique.bam,neural crest
SS2_18_108:P4_unique.bam,neural crest
SS2_18_108:P1_unique.bam,neural crest
SS2_18_108:P12_unique.bam,sens. neu.
SS2_18_108:P14_unique.bam,neural crest
SS2_18_108:P10_unique.bam,neural crest
SS2_18_108:P13_unique.bam,neural crest
SS2_18_108:P17_unique.bam,sens. neu.
SS2_18_109:A9_unique.bam,neural crest
SS2_18_109:A17_unique.bam,sens. neu.
SS2_18_109:B6_unique.bam,neural crest
SS2_18_109:A7_unique.bam,sens. neu.
SS2_18_109:A1_unique.bam,neural crest
SS2_18_109:A21_unique.bam,neural crest
SS2_18_109:A15_unique.bam,neural crest
SS2_18_109:A23_unique.bam,neural crest
SS2_18_109:A14_unique.bam,neural crest
SS2_18_109:B2_unique.bam,neural crest
SS2_18_109:A20_unique.bam,neural crest
SS2_18_109:A3_unique.bam,neural crest
SS2_18_109:A2_unique.bam,neural crest
SS2_18_109:A11_unique.bam,neural crest
SS2_18_109:A22_unique.bam,neural crest
SS2_18_109:B5_unique.bam,neural crest
SS2_18_109:B7_unique.bam,neural crest
SS2_18_109:B20_unique.bam,neural crest
SS2_18_109:B14_unique.bam,neural crest
SS2_18_109:B21_unique.bam,sens. neu.
SS2_18_109:B10_unique.bam,sens. neu.
SS2_18_109:B12_unique.bam,neural crest
SS2_18_109:B16_unique.bam,neural crest
SS2_18_109:B22_unique.bam,neural crest
SS2_18_109:B9_unique.bam,sens. neu.
SS2_18_109:B15_unique.bam,neural crest
SS2_18_109:B23_unique.bam,neural crest
SS2_18_109:C10_unique.bam,neural crest
SS2_18_109:C9_unique.bam,neural crest
SS2_18_109:C4_unique.bam,neural crest
SS2_18_109:C2_unique.bam,neural crest
SS2_18_109:C11_unique.bam,neural crest
SS2_18_109:C12_unique.bam,neural crest
SS2_18_109:C14_unique.bam,neural crest
SS2_18_109:C19_unique.bam,neural crest
SS2_18_109:C23_unique.bam,sens. neu.
SS2_18_109:C21_unique.bam,neural crest
SS2_18_109:C16_unique.bam,neural crest
SS2_18_109:C13_unique.bam,neural crest
SS2_18_109:C17_unique.bam,neural crest
SS2_18_109:C24_unique.bam,neural crest
SS2_18_109:D6_unique.bam,neural crest
SS2_18_109:D14_unique.bam,neural crest
SS2_18_109:D17_unique.bam,neural crest
SS2_18_109:D16_unique.bam,neural crest
SS2_18_109:D18_unique.bam,neural crest
SS2_18_109:D23_unique.bam,neural crest
SS2_18_109:D21_unique.bam,neural crest
SS2_18_109:E6_unique.bam,sens. neu.
SS2_18_109:E13_unique.bam,sens. neu.
SS2_18_109:E11_unique.bam,sens. neu.
SS2_18_109:E20_unique.bam,sens. neu.
SS2_18_109:E23_unique.bam,neural crest
SS2_18_109:E18_unique.bam,sens. neu.
SS2_18_109:F2_unique.bam,sens. neu.
SS2_18_109:E22_unique.bam,sens. neu.
SS2_18_109:F4_unique.bam,neural crest
SS2_18_109:F3_unique.bam,sens. neu.
SS2_18_109:F13_unique.bam,neural crest
SS2_18_109:F22_unique.bam,neural crest
SS2_18_109:F24_unique.bam,neural crest
SS2_18_109:F15_unique.bam,neural crest
SS2_18_109:F18_unique.bam,neural crest
SS2_18_109:F19_unique.bam,neural crest
SS2_18_109:F16_unique.bam,sens. neu.
SS2_18_109:G7_unique.bam,neural crest
SS2_18_109:G6_unique.bam,sens. neu.
SS2_18_109:F21_unique.bam,neural crest
SS2_18_109:G2_unique.bam,neural crest
SS2_18_109:G3_unique.bam,neural crest
SS2_18_109:G1_unique.bam,neural crest
SS2_18_109:G14_unique.bam,neural crest
SS2_18_109:G13_unique.bam,sens. neu.
SS2_18_109:H8_unique.bam,neural crest
SS2_18_109:G23_unique.bam,neural crest
SS2_18_109:G24_unique.bam,sens. neu.
SS2_18_109:H3_unique.bam,neural crest
SS2_18_109:H5_unique.bam,neural crest
SS2_18_109:H6_unique.bam,neural crest
SS2_18_109:H7_unique.bam,sens. neu.
SS2_18_109:H4_unique.bam,sens. neu.
SS2_18_109:H9_unique.bam,sens. neu.
SS2_18_109:H13_unique.bam,neural crest
SS2_18_109:H18_unique.bam,neural crest
SS2_18_109:H17_unique.bam,neural crest
SS2_18_109:H22_unique.bam,neural crest
SS2_18_109:I2_unique.bam,neural crest
SS2_18_109:I6_unique.bam,neural crest
SS2_18_109:I11_unique.bam,neural crest
SS2_18_109:I8_unique.bam,neural crest
SS2_18_109:I12_unique.bam,neural crest
SS2_18_109:I10_unique.bam,neural crest
SS2_18_109:I7_unique.bam,neural crest
SS2_18_109:I13_unique.bam,neural crest
SS2_18_109:I18_unique.bam,neural crest
SS2_18_109:I19_unique.bam,neural crest
SS2_18_109:I17_unique.bam,neural crest
SS2_18_109:J6_unique.bam,neural crest
SS2_18_109:J4_unique.bam,neural crest
SS2_18_109:J12_unique.bam,neural crest
SS2_18_109:J13_unique.bam,neural crest
SS2_18_109:J11_unique.bam,neural crest
SS2_18_109:J20_unique.bam,neural crest
SS2_18_109:J19_unique.bam,sens. neu.
SS2_18_109:J23_unique.bam,neural crest
SS2_18_109:K6_unique.bam,neural crest
SS2_18_109:K3_unique.bam,neural crest
SS2_18_109:K1_unique.bam,sens. neu.
SS2_18_109:K14_unique.bam,neural crest
SS2_18_109:K5_unique.bam,neural crest
SS2_18_109:K4_unique.bam,neural crest
SS2_18_109:K7_unique.bam,sens. neu.
SS2_18_109:K9_unique.bam,neural crest
SS2_18_109:K10_unique.bam,neural crest
SS2_18_109:K24_unique.bam,neural crest
SS2_18_109:L2_unique.bam,neural crest
SS2_18_109:K16_unique.bam,neural crest
SS2_18_109:K18_unique.bam,neural crest
SS2_18_109:K20_unique.bam,sens. neu.
SS2_18_109:L3_unique.bam,sens. neu.
SS2_18_109:K17_unique.bam,neural crest
SS2_18_109:K19_unique.bam,neural crest
SS2_18_109:L9_unique.bam,none
SS2_18_109:L6_unique.bam,neural crest
SS2_18_109:L12_unique.bam,sens. neu.
SS2_18_109:L22_unique.bam,neural crest
SS2_18_109:L20_unique.bam,neural crest
SS2_18_109:M6_unique.bam,neural crest
SS2_18_109:M4_unique.bam,sens. neu.
SS2_18_109:M3_unique.bam,neural crest
SS2_18_109:M13_unique.bam,neural crest
SS2_18_109:M9_unique.bam,neural crest
SS2_18_109:M11_unique.bam,neural crest
SS2_18_109:M12_unique.bam,sens. neu.
SS2_18_109:M24_unique.bam,sens. neu.
SS2_18_109:N2_unique.bam,neural crest
SS2_18_109:M18_unique.bam,sens. neu.
SS2_18_109:N9_unique.bam,neural crest
SS2_18_109:N10_unique.bam,neural crest
SS2_18_109:N14_unique.bam,neural crest
SS2_18_109:N12_unique.bam,neural crest
SS2_18_109:N16_unique.bam,neural crest
SS2_18_109:N20_unique.bam,neural crest
SS2_18_109:N21_unique.bam,sens. neu.
SS2_18_109:O5_unique.bam,sens. neu.
SS2_18_109:O2_unique.bam,neural crest
SS2_18_109:O3_unique.bam,neural crest
SS2_18_109:O6_unique.bam,neural crest
SS2_18_109:O7_unique.bam,neural crest
SS2_18_109:O23_unique.bam,sens. neu.
SS2_18_109:O13_unique.bam,neural crest
SS2_18_109:O16_unique.bam,neural crest
SS2_18_109:O19_unique.bam,sens. neu.
SS2_18_109:O18_unique.bam,neural crest
SS2_18_109:P7_unique.bam,neural crest
SS2_18_109:P3_unique.bam,neural crest
SS2_18_109:P6_unique.bam,neural crest
SS2_18_109:P10_unique.bam,sens. neu.
SS2_18_109:P15_unique.bam,neural crest
SS2_18_109:P12_unique.bam,neural crest
SS2_18_109:P14_unique.bam,neural crest
SS2_18_109:P11_unique.bam,neural crest
SS2_18_109:P20_unique.bam,neural crest
SS2_18_109:P19_unique.bam,neural crest
SS2_18_109:P21_unique.bam,neural crest
SS2_19_340:A19_unique.bam,none
SS2_19_340:A5_unique.bam,sens. neu.
SS2_19_340:B2_unique.bam,Hub
SS2_19_340:A4_unique.bam,sens. neu.
SS2_19_340:A8_unique.bam,sens. neu.
SS2_19_340:A3_unique.bam,sens. neu.
SS2_19_340:A18_unique.bam,sens. neu.
SS2_19_340:A11_unique.bam,Hub
SS2_19_340:A9_unique.bam,sens. neu.
SS2_19_340:A10_unique.bam,melanocytes
SS2_19_340:A14_unique.bam,sens. neu.
SS2_19_340:A17_unique.bam,Hub
SS2_19_340:B5_unique.bam,none
SS2_19_340:A15_unique.bam,sens. neu.
SS2_19_340:B4_unique.bam,Hub
SS2_19_340:A7_unique.bam,Hub
SS2_19_340:A20_unique.bam,melanocytes
SS2_19_340:A23_unique.bam,none
SS2_19_340:A21_unique.bam,sens. neu.
SS2_19_340:B1_unique.bam,Hub
SS2_19_340:A2_unique.bam,none
SS2_19_340:A13_unique.bam,sens. neu.
SS2_19_340:A12_unique.bam,Hub
SS2_19_340:A24_unique.bam,sens. neu.
SS2_19_340:B3_unique.bam,Hub
SS2_19_340:A1_unique.bam,Hub
SS2_19_340:B15_unique.bam,Hub
SS2_19_340:B7_unique.bam,sens. neu.
SS2_19_340:B9_unique.bam,sens. neu.
SS2_19_340:B23_unique.bam,sens. neu.
SS2_19_340:B16_unique.bam,none
SS2_19_340:B20_unique.bam,sens. neu.
SS2_19_340:B8_unique.bam,melanocytes
SS2_19_340:C7_unique.bam,sens. neu.
SS2_19_340:C2_unique.bam,none
SS2_19_340:B19_unique.bam,Hub
SS2_19_340:B24_unique.bam,sens. neu.
SS2_19_340:C3_unique.bam,none
SS2_19_340:C4_unique.bam,sens. neu.
SS2_19_340:B14_unique.bam,Hub
SS2_19_340:B12_unique.bam,none
SS2_19_340:B18_unique.bam,Hub
SS2_19_340:C1_unique.bam,sens. neu.
SS2_19_340:C5_unique.bam,Hub
SS2_19_340:C8_unique.bam,none
SS2_19_340:C6_unique.bam,sens. neu.
SS2_19_340:C12_unique.bam,enteric neu.
SS2_19_340:C9_unique.bam,none
SS2_19_340:C13_unique.bam,sens. neu.
SS2_19_340:C21_unique.bam,sens. neu.
SS2_19_340:C15_unique.bam,Hub
SS2_19_340:C14_unique.bam,Hub
SS2_19_340:C16_unique.bam,Hub
SS2_19_340:C17_unique.bam,Hub
SS2_19_340:C23_unique.bam,Hub
SS2_19_340:C24_unique.bam,none
SS2_19_340:C20_unique.bam,sens. neu.
SS2_19_340:C19_unique.bam,sens. neu.
SS2_19_340:D2_unique.bam,sens. neu.
SS2_19_340:C22_unique.bam,Hub
SS2_19_340:D5_unique.bam,Hub
SS2_19_340:D4_unique.bam,sens. neu.
SS2_19_340:D7_unique.bam,Hub
SS2_19_340:D10_unique.bam,sens. neu.
SS2_19_340:D18_unique.bam,sens. neu.
SS2_19_340:D1_unique.bam,sens. neu.
SS2_19_340:D8_unique.bam,Hub
SS2_19_340:D9_unique.bam,Hub
SS2_19_340:D15_unique.bam,sens. neu.
SS2_19_340:D6_unique.bam,Hub
SS2_19_340:D14_unique.bam,Hub
SS2_19_340:D11_unique.bam,sens. neu.
SS2_19_340:D16_unique.bam,sens. neu.
SS2_19_340:D17_unique.bam,Hub
SS2_19_340:D3_unique.bam,Hub
SS2_19_340:D13_unique.bam,Hub
SS2_19_340:D20_unique.bam,sens. neu.
SS2_19_340:D19_unique.bam,sens. neu.
SS2_19_340:D24_unique.bam,sens. neu.
SS2_19_340:D21_unique.bam,sens. neu.
SS2_19_340:D23_unique.bam,sens. neu.
SS2_19_340:E2_unique.bam,sens. neu.
SS2_19_340:D22_unique.bam,sens. neu.
SS2_19_340:E3_unique.bam,Hub
SS2_19_340:E1_unique.bam,sens. neu.
SS2_19_340:E7_unique.bam,sens. neu.
SS2_19_340:E8_unique.bam,sens. neu.
SS2_19_340:E14_unique.bam,sens. neu.
SS2_19_340:E15_unique.bam,Hub
SS2_19_340:E5_unique.bam,sens. neu.
SS2_19_340:E11_unique.bam,Hub
SS2_19_340:E13_unique.bam,Hub
SS2_19_340:E17_unique.bam,Hub
SS2_19_340:E19_unique.bam,Hub
SS2_19_340:E21_unique.bam,none
SS2_19_340:E20_unique.bam,melanocytes
SS2_19_340:E18_unique.bam,sens. neu.
SS2_19_340:E24_unique.bam,sens. neu.
SS2_19_340:E23_unique.bam,Hub
SS2_19_340:E22_unique.bam,sens. neu.
SS2_19_340:F1_unique.bam,sens. neu.
SS2_19_340:F2_unique.bam,Hub
SS2_19_340:F10_unique.bam,Hub
SS2_19_340:F4_unique.bam,sens. neu.
SS2_19_340:F3_unique.bam,none
SS2_19_340:F8_unique.bam,sens. neu.
SS2_19_340:F7_unique.bam,Hub
SS2_19_340:F9_unique.bam,sens. neu.
SS2_19_340:F5_unique.bam,Hub
SS2_19_340:F15_unique.bam,sens. neu.
SS2_19_340:F17_unique.bam,sens. neu.
SS2_19_340:F12_unique.bam,Hub
SS2_19_340:F14_unique.bam,Hub
SS2_19_340:F13_unique.bam,Hub
SS2_19_340:F11_unique.bam,sens. neu.
SS2_19_340:F18_unique.bam,sens. neu.
SS2_19_340:F16_unique.bam,Hub
SS2_19_340:F19_unique.bam,sens. neu.
SS2_19_340:F20_unique.bam,Hub
SS2_19_340:F22_unique.bam,Hub
SS2_19_340:F24_unique.bam,sens. neu.
SS2_19_340:G4_unique.bam,Hub
SS2_19_340:G2_unique.bam,sens. neu.
SS2_19_340:G1_unique.bam,Hub
SS2_19_340:G6_unique.bam,sens. neu.
SS2_19_340:G3_unique.bam,Hub
SS2_19_340:G5_unique.bam,sens. neu.
SS2_19_340:G7_unique.bam,sens. neu.
SS2_19_340:G8_unique.bam,Hub
SS2_19_340:G9_unique.bam,sens. neu.
SS2_19_340:G10_unique.bam,Hub
SS2_19_340:G14_unique.bam,sens. neu.
SS2_19_340:G16_unique.bam,sens. neu.
SS2_19_340:G18_unique.bam,sens. neu.
SS2_19_340:G15_unique.bam,sens. neu.
SS2_19_340:G20_unique.bam,melanocytes
SS2_19_340:G19_unique.bam,sens. neu.
SS2_19_340:G17_unique.bam,Hub
SS2_19_340:G24_unique.bam,Hub
SS2_19_340:G13_unique.bam,none
SS2_19_340:H1_unique.bam,Hub
SS2_19_340:H7_unique.bam,sens. neu.
SS2_19_340:G23_unique.bam,Hub
SS2_19_340:H3_unique.bam,sens. neu.
SS2_19_340:H8_unique.bam,Hub
SS2_19_340:H5_unique.bam,symp. neu.
SS2_19_340:H9_unique.bam,Hub
SS2_19_340:H4_unique.bam,Hub
SS2_19_340:H12_unique.bam,sens. neu.
SS2_19_340:H11_unique.bam,sens. neu.
SS2_19_340:H14_unique.bam,sens. neu.
SS2_19_340:H13_unique.bam,sens. neu.
SS2_19_340:H17_unique.bam,sens. neu.
SS2_19_340:H15_unique.bam,Hub
SS2_19_340:H21_unique.bam,melanocytes
SS2_19_340:H20_unique.bam,sens. neu.
SS2_19_340:I4_unique.bam,Hub
SS2_19_340:H24_unique.bam,Hub
SS2_19_340:I2_unique.bam,Hub
SS2_19_340:H22_unique.bam,sens. neu.
SS2_19_340:I5_unique.bam,sens. neu.
SS2_19_340:I3_unique.bam,sens. neu.
SS2_19_340:I7_unique.bam,sens. neu.
SS2_19_340:I1_unique.bam,sens. neu.
SS2_19_340:I6_unique.bam,sens. neu.
SS2_19_340:I8_unique.bam,sens. neu.
SS2_19_340:I9_unique.bam,Hub
SS2_19_340:I11_unique.bam,Hub
SS2_19_340:I15_unique.bam,none
SS2_19_340:I14_unique.bam,sens. neu.
SS2_19_340:I16_unique.bam,ChC
SS2_19_340:I10_unique.bam,sens. neu.
SS2_19_340:I18_unique.bam,Hub
SS2_19_340:I19_unique.bam,Hub
SS2_19_340:I20_unique.bam,Hub
SS2_19_340:I23_unique.bam,sens. neu.
SS2_19_340:I21_unique.bam,sens. neu.
SS2_19_340:J4_unique.bam,sens. neu.
SS2_19_340:J3_unique.bam,Hub
SS2_19_340:J7_unique.bam,sens. neu.
SS2_19_340:J2_unique.bam,sens. neu.
SS2_19_340:J14_unique.bam,sens. neu.
SS2_19_340:J6_unique.bam,sens. neu.
SS2_19_340:J5_unique.bam,enteric neu.
SS2_19_340:J10_unique.bam,none
SS2_19_340:J8_unique.bam,Hub
SS2_19_340:J12_unique.bam,sens. neu.
SS2_19_340:J13_unique.bam,Hub
SS2_19_340:J15_unique.bam,sens. neu.
SS2_19_340:J9_unique.bam,sens. neu.
SS2_19_340:J17_unique.bam,sens. neu.
SS2_19_340:J18_unique.bam,Hub
SS2_19_340:J20_unique.bam,sens. neu.
SS2_19_340:J19_unique.bam,BCC
SS2_19_340:J23_unique.bam,none
SS2_19_340:J22_unique.bam,sens. neu.
SS2_19_340:J16_unique.bam,sens. neu.
SS2_19_340:J21_unique.bam,none
SS2_19_340:J24_unique.bam,Hub
SS2_19_340:K2_unique.bam,melanocytes
SS2_19_340:K4_unique.bam,sens. neu.
SS2_19_340:K1_unique.bam,BCC
SS2_19_340:K3_unique.bam,sens. neu.
SS2_19_340:K5_unique.bam,none
SS2_19_340:K9_unique.bam,Hub
SS2_19_340:K6_unique.bam,sens. neu.
SS2_19_340:K7_unique.bam,Hub
SS2_19_340:K12_unique.bam,sens. neu.
SS2_19_340:K16_unique.bam,sens. neu.
SS2_19_340:K8_unique.bam,enteric neu.
SS2_19_340:K10_unique.bam,sens. neu.
SS2_19_340:K14_unique.bam,sens. neu.
SS2_19_340:K21_unique.bam,sens. neu.
SS2_19_340:K13_unique.bam,none
SS2_19_340:K17_unique.bam,Hub
SS2_19_340:K20_unique.bam,sens. neu.
SS2_19_340:K22_unique.bam,sens. neu.
SS2_19_340:K19_unique.bam,sens. neu.
SS2_19_340:K23_unique.bam,sens. neu.
SS2_19_340:L2_unique.bam,sens. neu.
SS2_19_340:K11_unique.bam,Hub
SS2_19_340:K15_unique.bam,sens. neu.
SS2_19_340:K24_unique.bam,Hub
SS2_19_340:L1_unique.bam,sens. neu.
SS2_19_340:L4_unique.bam,sens. neu.
SS2_19_340:L5_unique.bam,sens. neu.
SS2_19_340:L3_unique.bam,sens. neu.
SS2_19_340:K18_unique.bam,sens. neu.
SS2_19_340:L6_unique.bam,Hub
SS2_19_340:L7_unique.bam,Hub
SS2_19_340:L8_unique.bam,none
SS2_19_340:L12_unique.bam,sens. neu.
SS2_19_340:L9_unique.bam,Hub
